"","count","condition","level"
"DOX_0.0125_1",30.0216597583817,"1","0.0125"
"DOX_0.0125_2",21.4260104764125,"1","0.0125"
"DOX_0.0125_3",14.7777555040425,"1","0.0125"
"DOX_0.0187_1",14.4317878232343,"1","0.0187"
"DOX_0.0187_2",15.1565444429677,"1","0.0187"
"DOX_0.0187_3",14.990143017285,"1","0.0187"
"DOX_0.021_1",3.73106539623198,"1","0.021"
"DOX_0.021_2",8.7408092734169,"1","0.021"
"DOX_0.021_3",3.74216846683619,"1","0.021"
"DOX_0.025_1",5.52092193055059,"1","0.025"
"DOX_0.025_2",5.67128607176791,"1","0.025"
"DOX_0.025_3",5.70365539701856,"1","0.025"
"DOX_0.075_1",2.69038209125117,"1","0.075"
"DOX_0.075_2",3.14905298135018,"1","0.075"
"DOX_0.075_3",6.10268025187677,"1","0.075"
"NT_0_1",27.6588222153458,"0","0"
"NT_0_2",31.6829592122764,"0","0"
"NT_0_3",13.7253017995684,"0","0"
